news_headline,news_article,news_category
"Babar given Pak vice-captaincy, Sarfaraz retained as captain","Batsman Babar Azam has been named as Pakistan's vice-captain for the home series against Sri Lanka, while Sarfaraz Ahmed has been retained as the captain. Azam has previously captained Pakistan in the ICC U19 Cricket World Cup 2012. ""This is part of Babar's gradual development as a future captain,"" a statement from PCB chairman Ehsan Mani read.",sports
Ball out of play but VAR allows disputed goal in Germany,"Fortuna Dusseldorf had a disputed goal allowed by VAR in a 1-1 draw with Wolfsburg in the Bundesliga on Friday. Niko Gießelmann gave the home side a lead in the 16th minute, but replays showed that the ball went out of play by the sideline in the lead up to the goal. The goal stood despite video assistant referee check.",sports
Australia's Megan Schutt becomes 1st woman to take two int'l hat-tricks,Australia fast bowler Megan Schutt has become the first woman to claim two hat-tricks in international cricket. Schutt achieved the feat by dismissing West Indies' last three players off the final three deliveries in the final ODI of the three-match series. She had taken her first international hat-trick in a T20I against India last year.,sports
Would have loved Neymar to come back to us at Barca: Messi,"After Barcelona couldn't break a deal with Paris Saint-Germain to bring back their ex-forward Neymar to the club, team's captain Lionel Messi said, ""The truth is I would have loved...him to come back to us."" The Argentine added, ""I understand some people were against it... considering...how he left us."" Messi further said he wanted to end his career at Barcelona.",sports
Dream of seeing Real Madrid in the NBA: Real Madrid president,"Real Madrid president Florentino Perez has said that he dreams of seeing Real Madrid's basketball team play in the NBA. ""I have asked us to be included in the Eastern Conference, but they say that's far away... [T]here are Greek and Turkish clubs with which we could have a European Conference,"" Perez added about the creation of NBA's European division.",sports
Most of Australia hates me: Mitchell Marsh after five-for,"Australian all-rounder Mitchell Marsh, who picked up a five-for in the last Ashes Test against England, said that he is aware that 'most of Australia' hates him. ""[H]opefully they can respect me for the fact I keep coming back and I love playing for Australia... I'll keep trying and hopefully, I'll win them over one day,"" Marsh added.",sports
Osama bin Laden's son and al-Qaeda heir Hamza killed by US: Trump,"US President Donald Trump confirmed on Saturday that Hamza bin Laden, the son of al-Qaeda founder Osama bin Laden, was killed in a US counterterrorism operation in the Afghanistan/Pakistan region. Hamza was reportedly killed in an air strike. ""He was very threatening to our country. He was saying very bad things about our country,"" Trump had earlier said about Hamza.",world
"Co-pilot left plane's cockpit after panic attack, captain landed it himself","An EasyJet co-pilot suffered a mid-air panic attack and left the cockpit of a plane, carrying 148 passengers, which was approaching Glasgow International Airport, an Air Accidents Investigation Branch report said. The captain landed the plane on his own after the co-pilot became incapacitated. His anxiety was triggered by a go-around the day before at 30 feet, the report added.",world
4 Indian men drown in manure tank at farm in Italy,"Four men from Punjab, aged between 28 and 48, drowned in a manure tank on a dairy farm in Italy. Investigators believe that three men died after jumping in to rescue a worker who had been emptying the tank. The farm, located about 45 km from the city of Milan, was owned by two of the deceased, who were brothers.",world
I expected the world to react more on Kashmir: Pak PM Imran Khan,"Pakistan PM Imran Khan has said, ""Sadly, I...expected the world to react much more than it has on the Kashmir issue."" ""Kashmir is no longer a disputed territory as far as India is concerned. They have made it a part of India,"" he added. Earlier, Pakistan Interior Minister Ijaz Ahmad Shah said the international community believes India and not us.",world
"Pak is hub of terrorism, spreads deceitful narratives: India at UN","Pakistan is a hub of terrorism that has jeopardised innocent lives in the region and beyond, First Secretary in the Permanent Mission of India to the UN, Sandeep Kumar Bayyapu, said. Pakistan misused the UN to spread baseless and deceitful narratives about India, he added. His statement came during participation in the debate on the Report of the Security Council.",world
Pak shows white flag to get bodies of soldiers killed by Indian Army,A video showing Pakistan Army raising white flag to retrieve the bodies of two of its soldiers killed by the Indian Army along the LoC has surfaced online. The Indian Army killed the two soldiers in retaliation to unprovoked ceasefire violation by Pakistan. The Indian Army reportedly said it allowed Pakistan to retrieve the bodies as it respects the dead.,world
Melania criticised over coat showing plane flying into tower on 9/11,"US First Lady Melania Trump was criticised over a coat she wore in a 9/11 tribute image, with social media users claiming the stitching on it apparently resembled a plane flying into a tower. The image was shared by US President Donald Trump on Twitter, with the caption, ""We will never forget 9.11.01."" The White House called the criticism ""ridiculous"". ",world
Brexit referendum result left me depressed: Former UK PM Cameron,"Former UK Prime Minister David Cameron has said the Brexit referendum result in 2016 had left him ""hugely depressed"". Cameron had called for the referendum after promising it in the Conservative Party's election manifesto in 2015 but had himself campaigned to remain in the European Union. Cameron had announced his decision to resign as PM after the result was announced.",world
Bangladesh removes Pakistan's name from all border pillars,"Border Guard Bangladesh has removed Pakistan's name from all the border pillars installed along its border with India. Bangladesh took the step to remove the border pillars, which were installed after the Partition in 1947, for the first time since its independence in 1971. The pillars were erected in several border areas, including Naogaon, Sylhet and Chittagong.",world
Harvard University received ₹64 crore from sex offender Epstein,"Harvard University received nearly $9 million (₹64 crore) in donations from convicted sex offender Jeffrey Epstein before his 2008 guilty plea to sex charges, but rejected a proposed gift after his conviction, according to institution's President Lawrence Bacow. Epstein killed himself in a US jail in August after being arrested on charges of sex trafficking of young women and girls.",world
Fires at Saudi Aramco oil facilities after drone attacks,"Drone attacks on two oil facilities owned by Saudi Arabia's state-owned oil giant Saudi Aramco in Abqaiq and Khurais provinces on Saturday caused fires, a Saudi interior ministry spokesman said without identifying the source of the drones. A Saudi-led military coalition has been battling Yemen's Houthis rebels since March 2015, and the latter have launched similar attacks in the past.",world
Trump says energy-efficient light bulbs make him look orange,"During his speech to House Republicans in Baltimore, US President Donald Trump claimed that energy-efficient light bulbs, which his administration has tried to block, make him look orange. He described energy-efficient light bulbs as ""many times more expensive than that old, incandescent bulb that worked very well"", adding that energy-efficient light bulbs' ""light's no good"".",world
"Pak delegation skips SCO conference in Delhi, attends only dinner",A Pakistani delegation skipped the Shanghai Cooperation Organisation (SCO) military medicine conference organised in Delhi on Thursday and only attended the dinner later that evening. The inaugural session of the two-day conference was addressed by Defence Minister Rajnath Singh. The conference was attended by around 27 international and 40 Indian delegates.,world
Former US priest jailed for 30 years for child sexual abuse,"Arthur Perrault, an 81-year-old former Roman Catholic priest, has been sentenced to 30 years in prison for sexually abusing an altar boy in New Mexico, US, in the 1990s, prosecutors said. Although he was convicted of abusing just one victim, prosecutors alleged that Perrault was a serial child molester who abused several young people for more than 30 years.",world
Iran-backed Houthi rebels claim drone attacks on Saudi oil facilities,Yemen's Iran-backed Houthi rebels claimed responsibility for the drone attacks on two Saudi oil facilities on Saturday. The rebels had deployed 10 drones against Saudi Aramco plants in Abqaiq and Khurais in eastern Saudi Arabia. The drone attacks sparked fires at both the facilities.,world
Ex-Zimbabwe Prez Mugabe to be buried at heroes monument,"Former Zimbabwe President Robert Mugabe will be buried at the country's National Heroes Acre. The official ceremony would be followed by a private family event at the monument for heroes of the liberation war against white minority rule. Mugabe's body arrived in Zimbabwe from Singapore on Wednesday. Mugabe, who ruled Zimbabwe for 37 years, died at the age of 95.",world
China tells state firms to take control of Hong Kong firms: Reports,"China has called on its biggest state-run firms to take control of Hong Kong companies instead of just holding stakes in them, Reuters reported. China urged representatives from nearly 100 of China's largest state-run companies to help calm the unrest in Hong Kong. The companies reportedly pledged to invest more in key Hong Kong industries, including real estate and tourism.",world
Tiananmen Square 'Tank Man' photographer Charlie Cole passes away,"Charlie Cole, one of the four photographers who captured the 'Tank Man' protester at China's Tiananmen Square in 1989, passed away at the age of 64 in Bali last week. Cole won the World Press Photo award for his picture in 1990. Cole had hidden the undeveloped film roll in the bathroom, fearing he would be searched by Chinese authorities.",world
Indian man who stole 2 mangoes from cargo at airport faces trial,"An Indian man working at a Dubai airport faced trial at a court for stealing two mangoes from a cargo consignment. The 27-year-old committed the theft in 2017. The man, who confessed to stealing the mangoes worth 6 dirhams (₹116), said he was thirsty when he opened the box containing mangoes. If found guilty, he may face a jail term.",world
US baby born on 9/11 anniversary at 9:11 pm weighs 9lb 11oz,"A US mother says her newborn daughter is a ""little miracle"" after she was born on the anniversary of the 9/11 attacks at 9:11 pm weighing 9lb 11oz. ""She is a new life amongst the devastation and destruction,"" her mother added. ""It was really exciting, especially to find some joy during a day of such tragedy,"" her father said.",world
16-year-old climate activist protests outside White House,"Swedish climate activist Greta Thunberg on Friday protested outside the White House. The 16-year-old was greeted by hundreds of mostly young people carrying signs reading 'People or Profit?' and 'Warming!', and chanting 'This is a crisis, act like it!'. Notably, US President Donald Trump is among the few global leaders who have openly questioned the science of climate change.",world
8 Indian-Americans held for distributing millions of opioid pills,"Eight Indian-Americans were arrested for their alleged involvement in the distribution of millions of opioid pills smuggled from India. The accused allegedly operated out of a warehouse in New York, where they repackaged the pills and mailed them to customers. If convicted, seven of the accused may face up to five-year jail, while the eighth accused may face 25-year imprisonment.",world
"Canada sells ₹160 cr of Iranian assets, gives money to terror victims","Canada has sold Iran's assets worth nearly CA$30 million (over ₹160 crore) and handed over the proceeds to victims of terrorist groups allegedly sponsored by the Iranian regime, according to court documents. The confiscated assets include two Iranian-owned buildings in Ottawa and Toronto, around CA$2.6 million (nearly ₹14 crore) seized from Iranian bank accounts, as well as some vehicles.",world
Afghan Taliban sends team to Russia after US talks collapse,The Taliban has sent a delegation to Russia to discuss prospects for a withdrawal of US troops from Afghanistan following collapse of talks with the US this month. Taliban said US President Donald Trump's decision to call off the peace process came at a time when both sides had resolved all outstanding issues and were about to sign an agreement.,world
Hong Kong WTA event postponed as court reserved for protests,"The WTA Hong Kong Open has been postponed due to widespread pro-democracy protests. The tournament, scheduled to start from October 5, is played at Victoria Park, which happens to be one of the main gathering points for the mass protests. ""[A] smooth running of the tournament can be better assured at a later time,"" the Hong Kong Tennis Association stated.",world
"ABVP wins 3 posts including Prez, NSUI 1 in DU Students Union polls","The Akhil Bharatiya Vidyarthi Parishad (ABVP) has won three out of the four top posts in Delhi University Students Union polls. ABVP bagged the top posts of President, Vice President and Joint Secretary, while the National Students' Union of India (NSUI) won the post of Secretary. The overall polling percentage was recorded at 40%, Chief Election Officer Ashok Prasad said.",politics
Shah Faesal withdraws habeas corpus plea challenging detention,Bureaucrat-turned-politician Shah Faesal on Thursday withdrew his habeas corpus plea challenging his detention before the Delhi High Court. The bench allowed Faesal to withdraw his plea after his wife filed an affidavit in this regard and told them that she had received instructions to withdraw the plea when she met him in custody in Srinagar. ,politics
"NCP MP Udayanraje joins BJP in Maharashtra, says 'inspired by PM'","Senior NCP leader Udayanraje Bhonsle on Saturday resigned as Lok Sabha MP and joined BJP in the presence of party President Amit Shah and Maharashtra CM Devendra Fadnavis. ""I'm inspired by the works and leadership of PM (Narendra) Modi, Amit Shah and BJP,"" Bhonsle said. The move comes ahead of Maharashtra Assembly elections scheduled to take place in October.",politics
PM Modi's presence became bad luck for ISRO: Kumaraswamy,"Former Karnataka Chief Minister HD Kumaraswamy held PM Narendra Modi responsible after Chandrayaan-2's Vikram lander lost contact with the ground station. ""PM came to Bengaluru to give a message that he himself was landing Chandrayaan-2...he came just for sake of advertisement,"" he said. ""Once he stepped in the ISRO Centre, I think it became bad luck for scientists,"" Kumaraswamy added.",politics
Don't want to see the whole film: Sibal on PM Modi's 'trailer' remark,"Responding to PM Narendra Modi's remark that in the last 100 days of NDA government, the nation has seen ""its trailer, the film is remaining"", Congress leader Kapil Sibal said, ""We don't want to see rest of the film."" Sibal stated that in the last 100 days, GDP, GST collections and investments have gone down while unemployment has increased. ",politics
We're in midst of a protracted economic slowdown: Manmohan Singh,"Former PM Manmohan Singh said PM Narendra Modi's talk of making India a $5-trillion economy by 2024 resembles a ""pipe dream"" as for this ""we need growth rate of 12% per annum in nominal terms and 9% in real terms."" The atmosphere is one of ""gloom and doom"" and ""we're in the midst of a protracted economic slowdown,"" he added.",politics
Not needed: Gadkari after Kejriwal announces odd-even scheme,"After Delhi Chief Minister Arvind Kejriwal announced the return of the odd-even scheme in the National Capital, Union Transport Minister Nitin Gadkari stated, ""No, I don't think it is needed."" Gadkari added, ""The Ring Road we have built has significantly reduced pollution in the city and our planned schemes will free Delhi of pollution in the next two years.""",politics
"SIT questions Chinmayanand for 7 hours, seals his bedroom","BJP leader Swami Chinmayanand was questioned by a Special Investigation Team (SIT) for seven hours on Thursday in connection with allegations that he raped a 23-year-old law student. The SIT, formed on the orders of the Supreme Court, also sealed Chinmayanand's bedroom. Meanwhile, it also questioned the principals of two colleges where the law student studied.",politics
AAP MLA Som Dutt sent to Tihar jail for 6 months in 2015 assault case,"A Delhi court on Thursday sent Aam Aadmi Party (AAP) MLA Som Dutt to Tihar jail for six months, dismissing his appeal against his conviction in an assault case. In July, Delhi's Rouse Avenue Court had said that Dutt assaulted a man 'without provocation' in 2015. The court had also imposed a ₹2 lakh fine on him.",politics
Amit Shah sweeps AIIMS floor as part of campaign for PM's b'day week,"BJP President Amit Shah with working President JP Nadda swept the floor at AIIMS as part of the party's 'Seva Saptah' campaign launched to celebrate PM Narendra Modi's birthday, which is on September 17. Party leaders Vijay Goel and Vijender Gupta were also seen sweeping the floor. The leaders also visited the patients admitted in the hospital.",politics
Can't destroy greatness: Priyanka after Gandhi ji's statue vandalised,"A Mahatma Gandhi statue was vandalised by unidentified miscreants at a college in Uttar Pradesh's Jalaun. Reacting to this, Congress leader Priyanka Gandhi Vadra said, ""You cannot move even a fraction of greatness of these great men by attacking their statues."" ""This is the achievement of cowards in their life, who break the statues of great people,"" she added.",politics
"Leader dresses up as groom, workers as 'baraatis' to meet Akhilesh","Samajwadi Party (SP) leader Firoz Khan dressed up as a groom and was accompanied by party workers pretending to be 'baraatis' to meet former Uttar Pradesh CM and party President Akhilesh Yadav in Rampur. Some SP leaders have alleged that they are being prevented from meeting Akhilesh or going to Rampur, while the district administration denied putting such restrictions.",politics
People stared at me when I told my name: MK Stalin on 1989 Russia trip,"Speaking about his visit to Russia in 1989, M Karunanidhi's son and DMK President MK Stalin said, ""At a Russian airport, I was asked to mention my name. When I said 'Stalin' many people...started looking at me."" He stated that officials asked him several questions while checking his passport, adding, ""Many people in Russia didn't like Joseph Stalin.""",politics
Sardar Patel's pain removed by great son of Guj: Prasad on J&K,"Discussing abrogation of Article 370, Union Minister Ravi Shankar Prasad on Wednesday stated, ""Pain of Sardar Patel regarding Kashmir has been cured through surgery by another great son of Gujarat, Narendra Modi."" Prasad said he got emotional when he had to sign a file on the move, and claimed Home Minister Amit Shah told him, ""We want to make history.""",politics
UP govt attacking journalists who seek answers: Priyanka,"Congress leader Priyanka Gandhi Vadra on Thursday alleged that BJP government in Uttar Pradesh is constantly attacking journalists who seek answers from it. ""Their job is to make news on public issues and seek answers from the government,"" she tweeted. Recently, a journalist was arrested for allegedly shooting a video of kids mopping school floor in UP's Azamgarh.",politics
